symbol|company_name|founded_year|founded_month|source_url
S|SentinelOne, Inc.|2013||https://en.wikipedia.org/wiki/SentinelOne
SAF|Safeco|1923||https://en.wikipedia.org/wiki/Safeco
SB|Safe Bulkers, Inc.|2007|December|https://en.wikipedia.org/wiki/Safe_Bulkers
SCI|Service Corporation International|1962||https://en.wikipedia.org/wiki/Service_Corporation_International
SEG|Seaport Entertainment Group Inc.|2024||https://en.wikipedia.org/wiki/Howard_Hughes_Holdings
SFA|Scientific-Atlanta|1951||https://en.wikipedia.org/wiki/Scientific_Atlanta
SFS|Smith's Food & Drug Centers|1911||https://en.wikipedia.org/wiki/Smith%27s_Food_and_Drug
SGID|Silicon Graphics, Inc.|1981|November|https://en.wikipedia.org/wiki/Silicon_Graphics
SGP|SpyGlass Pharma, Inc.|2019||https://spyglasspharma.com/
SHN|Shoney's, Inc.|1947||https://en.wikipedia.org/wiki/Shoney%27s
SIAL|Sigma-Aldrich|1975|August|https://en.wikipedia.org/wiki/Sigma-Aldrich
SK|Safety-Kleen|1963||https://en.wikipedia.org/wiki/Safety-Kleen
SMI|Springs Industries, Inc.|1887||https://www.scencyclopedia.org/sce/entries/springs-industries/
SMS|Shared Medical Systems Corporation|1968||https://www.encyclopedia.com/books/politics-and-business-magazines/shared-medical-systems-corporation
SNT|Senstar Technologies Corp|1969||https://en.wikipedia.org/wiki/Senstar
SRR|Stride Rite Corporation|1919||https://en.wikipedia.org/wiki/Stride_Rite_Corporation
STI|Solidion Technology Inc.|2015||https://solidiontech.com/about-us/
STJ|St. Jude Medical|1976||https://en.wikipedia.org/wiki/St._Jude_Medical
STO|Stone Container Corporation|1926||https://en.wikipedia.org/wiki/Stone_Container
SUN|Sunoco LP|1886||https://en.wikipedia.org/wiki/Sunoco
SVU|SuperValu|1926||https://en.wikipedia.org/wiki/Supervalu_Inc.
T|AT&T|1885|March|https://en.wikipedia.org/wiki/AT%26T
TA|Transamerica Corporation|1928||https://en.wikipedia.org/wiki/Transamerica_Corporation
TCOMA|Tele-Communications Inc.|1968||https://en.wikipedia.org/wiki/Tele-Communications_Inc.
TDM|Tandem Computers|1974||https://en.wikipedia.org/wiki/Tandem_Computers
TEK|Tektronix|1946||https://en.wikipedia.org/wiki/Tektronix
TEN|Tsakos Energy Navigation Ltd|1993||https://en.wikipedia.org/wiki/Tsakos_Energy_Navigation
TGNA|TEGNA Inc. (Gannett)|1906||https://en.wikipedia.org/wiki/Gannett_(1906%E2%80%932015)
THC|Tenet Healthcare Corp|1969||https://en.wikipedia.org/wiki/Tenet_Healthcare
THY|||
TIN|Temple-Inland Inc.|1893||http://www.fundinguniverse.com/company-histories/temple-inland-inc-history/
TKR|The Timken Company|1899||https://en.wikipedia.org/wiki/Timken_Company
TLAB|Tellabs, Inc.|1974||https://en.wikipedia.org/wiki/Tellabs
TMC|TMC the metals Company Inc.|2011||https://en.wikipedia.org/wiki/The_Metals_Company
TMC.A|TMC the metals Company Inc.|2011||https://en.wikipedia.org/wiki/The_Metals_Company
TMK|Torchmark Corp / Globe Life|1900||https://en.wikipedia.org/wiki/Globe_Life
TMO|Thermo Fisher Scientific|1956||https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific
TNB|Thomas & Betts Corporation|1898||https://en.wikipedia.org/wiki/Thomas_%26_Betts
TOS|Tosco Corporation|1955||https://en.wikipedia.org/wiki/Tosco_Corporation
TOY|Toys "R" Us|1948|April|https://en.wikipedia.org/wiki/Toys_R_Us
TRB|Tribune Company|1847|June|https://en.wikipedia.org/wiki/Tribune_Media
TRW|TRW Inc.|1901||https://en.wikipedia.org/wiki/TRW_Inc.
TUP|Tupperware Brands Corporation|1938||https://en.wikipedia.org/wiki/Tupperware_Brands
TWX|Time Warner Inc. (Time Inc.)|1922|November|https://en.wikipedia.org/wiki/Time_Inc.
TX|Ternium S.A.|2005||https://en.wikipedia.org/wiki/Ternium
TXU|TXU Corp / Texas Utilities|1912||https://en.wikipedia.org/wiki/Texas_Utilities
UAWGQ|United Airlines (UAL Corp)|1926|April|https://en.wikipedia.org/wiki/United_Airlines
UCC|Union Carbide Corporation|1917|November|https://en.wikipedia.org/wiki/Union_Carbide
UCL|uCloudlink Group Inc.|2014||https://en.wikipedia.org/wiki/UCloudlink
UCM|Unicom Corporation (ComEd)|1907||https://en.wikipedia.org/wiki/Commonwealth_Edison
UIS|Unisys Corporation|1873||https://en.wikipedia.org/wiki/Unisys
UK|Ucommune International Ltd|2015||https://en.wikipedia.org/wiki/Ucommune
UMG|Universal Music Group|1934||https://en.wikipedia.org/wiki/Universal_Music_Group
UN|Unilever N.V.|1930||https://en.wikipedia.org/wiki/Unilever
UNM|Unum Group|1848||https://en.wikipedia.org/wiki/Unum
UPR|Union Pacific Resources Group|1995||https://en.wikipedia.org/wiki/Union_Pacific_Corporation
USH|USLIFE Corporation|1850||https://en.wikipedia.org/wiki/USLife
USHC|U.S. Healthcare, Inc.|1977||https://en.wikipedia.org/wiki/U.S._Healthcare,_Inc.
USS|United States Surgical Corporation|1964||https://en.wikipedia.org/wiki/United_States_Surgical_Corporation
UST|UST Inc. / U.S. Smokeless Tobacco|1822||https://en.wikipedia.org/wiki/U.S._Smokeless_Tobacco_Company
USW|US West, Inc.|1983||https://en.wikipedia.org/wiki/Qwest
UTX|United Technologies Corporation|1934||https://en.wikipedia.org/wiki/United_Technologies_Corporation
VFC|VF Corporation|1899|October|https://en.wikipedia.org/wiki/VF_Corporation
VO|Vornado (Two Guys)|1947||https://en.wikipedia.org/wiki/Vornado_Realty_Trust
VZ|Verizon Communications (Bell Atlantic)|1983|October|https://en.wikipedia.org/wiki/Verizon
WAB|Wabtec (Westinghouse Air Brake)|1869||https://en.wikipedia.org/wiki/Wabtec
WB|Weibo Corporation|2009|August|https://en.wikipedia.org/wiki/Weibo
WBA|Walgreens|1901||https://en.wikipedia.org/wiki/Walgreens
WBD|Warner Bros. Discovery|1923|April|https://en.wikipedia.org/wiki/Warner_Bros.
WCOEQ|WorldCom (LDDS)|1983||https://en.wikipedia.org/wiki/MCI_Inc.
WEN|The Wendy's Company|1969|November|https://en.wikipedia.org/wiki/Wendy%27s
WHR|Whirlpool Corporation|1911|November|https://en.wikipedia.org/wiki/Whirlpool_Corporation
WLA|Warner-Lambert|1856||https://en.wikipedia.org/wiki/Warner%E2%80%93Lambert
WLL|Whiting Petroleum Corporation|1980||https://en.wikipedia.org/wiki/Whiting_Petroleum
WMX|Waste Management, Inc.|1968||https://en.wikipedia.org/wiki/Waste_Management_(company)
WNDXQ|Winn-Dixie Stores, Inc.|1925||https://en.wikipedia.org/wiki/Winn-Dixie
WOR|Worthington Enterprises|1955||https://en.wikipedia.org/wiki/Worthington_Industries
WWY|Wm. Wrigley Jr. Company|1891|April|https://en.wikipedia.org/wiki/Wrigley_Company
WYE|Wyeth (John Wyeth and Brother)|1860||https://en.wikipedia.org/wiki/Wyeth
X|United States Steel Corporation|1901|February|https://en.wikipedia.org/wiki/U.S._Steel
XRX|Xerox (Haloid Photographic)|1906||https://en.wikipedia.org/wiki/Xerox
YRCW|Yellow Corporation (YRC)|1924||https://en.wikipedia.org/wiki/Yellow_Corporation
NCLH|Norwegian Cruise Line Holdings|1966||https://en.wikipedia.org/wiki/Norwegian_Cruise_Line
TAP|Molson Coors Beverage Company|1786||https://en.wikipedia.org/wiki/Molson_Coors
WAI|Top KingWin Ltd|2018|October|https://www.sec.gov/Archives/edgar/data/1938865/000121390024037834/ea0204345-20f_topking.htm
